시군구,단지명,계약연월,전용면적(㎡),매매대금(만원) 평균,전세(만원) 평균,면적당 매매대금평균,면적당 전세평균,전세가율-100%,lat,lng,전세가율-90%,전세가율-80%,전세가율-70%,전세가율-60%
강원특별자치도 강릉시 노암동-390,노암한라,2021-06-01,59.976,11800.0,10000.0,196.7453648,166.73336,84.74576271,37.7447455,128.9018991,76.27118643899999,67.796610168,59.32203389699999,50.84745762599999
강원특별자치도 강릉시 송정동-0039,삼익비치맨션,2020-05-01,84.544,15550.0,11000.0,183.9278955,130.1097653,70.73954984,37.7778102,128.93364,63.665594856,56.591639872,49.51768488799999,42.443729903999994
강원특별자치도 강릉시 송정동-0039,삼익비치맨션,2020-10-01,84.544,15500.0,13000.0,183.3364875,153.7660863,83.87096774,37.7778102,128.93364,75.483870966,67.096774192,58.70967741799999,50.322580644
강원특별자치도 강릉시 송정동-0940,대림맨션,2020-07-01,84.99,13000.0,6000.0,152.9591717,70.59654077,46.15384615,37.7703368,128.9212069,41.538461535,36.92307692,32.307692304999996,27.69230769
강원특별자치도 강릉시 송정동-1061,경포대신도브래뉴로얄카운티,2020-08-01,155.837,38600.0,36600.0,247.6947066,234.860784,94.81865285,37.7784599,128.9340697,85.33678756500001,75.85492228000001,66.373056995,56.89119171
강원특별자치도 강릉시 송정동-1061,경포대신도브래뉴로얄카운티,2022-05-01,155.837,68000.0,53000.0,436.3533692,340.0989495,77.94117647,37.7784599,128.9340697,70.14705882300001,62.352941176,54.558823529,46.764705882
강원특별자치도 강릉시 송정동-1063,강릉송정한신더휴,2020-01-01,84.9955,28000.0,2000.0,329.4292051,23.53065751,7.142857143,37.7730505,128.9268834,6.4285714287,5.7142857144,5.000000000099999,4.285714285799999
강원특별자치도 강릉시 송정동-1063,강릉송정한신더휴,2022-04-01,84.961,53400.0,40000.0,628.5236756,470.8042514,74.90636704,37.7730505,128.9268834,67.41573033600001,59.92509363200001,52.434456928,44.943820224
강원특별자치도 강릉시 송정동-1064,송정아이파크,2020-12-01,84.93,36000.0,40000.0,423.8784882,470.976098,111.1111111,37.7751295,128.934582,99.99999999,88.88888888000001,77.77777777,66.66666666
강원특별자치도 강릉시 송정동-1064,송정아이파크,2021-01-01,84.93,43500.0,35000.0,512.1865065,412.1040857,80.45977011,37.7751295,128.934582,72.413793099,64.367816088,56.32183907699999,48.275862065999995
강원특별자치도 강릉시 송정동-1065,강릉송정신원아침도시,2021-03-01,84.9522,35900.0,37000.0,422.5905862,435.5390443,103.0640669,37.7734413,128.9328702,92.75766021,82.45125352000001,72.14484682999999,61.838440139999996
강원특별자치도 강릉시 송정동-1065,강릉송정신원아침도시,2021-10-01,75.9722,47000.0,35000.0,618.6473473,460.6948331,74.46808511,37.7734413,128.9328702,67.021276599,59.574468088,52.127659577,44.680851066
강원특별자치도 강릉시 연곡면 영진리-0011,영진부영1,2020-04-01,59.987,13300.0,10500.0,221.7147049,175.0379249,78.94736842,37.8685856,128.8418501,71.052631578,63.157894736,55.263157894,47.368421052
강원특별자치도 강릉시 연곡면 영진리-0012,영진부영2,2020-10-01,59.987,14500.0,13000.0,241.7190391,216.7136213,89.65517241,37.8696376,128.8418015,80.689655169,71.724137928,62.758620687,53.793103446
강원특별자치도 강릉시 연곡면 영진리-0380,영진부영3,2020-04-01,84.9157,18400.0,17000.0,216.6854893,200.1985499,92.39130435,37.8705253,128.840415,83.152173915,73.91304348,64.67391304499999,55.43478261
강원특별자치도 강릉시 연곡면 영진리-0380,영진부영3,2020-09-01,84.9157,20250.0,15000.0,238.471802,176.6457793,74.07407407,37.8705253,128.840415,66.666666663,59.259259256,51.85185184899999,44.444444442
강원특별자치도 강릉시 연곡면 영진리-0381,영진코아루비치테라스,2020-09-01,29.9674,13600.0,4500.0,453.8264915,150.1631773,33.08823529,37.8683593,128.8437742,29.779411761000002,26.470588232,23.161764703,19.852941173999998
강원특별자치도 강릉시 연곡면 영진리-12,영진부영2,2019-10-01,59.987,13500.0,9000.0,225.0487606,150.032507,66.66666667,37.8696376,128.8418015,60.000000003,53.333333336,46.666666668999994,40.000000002
강원특별자치도 강릉시 연곡면 영진리-380,영진부영3,2019-10-01,84.9157,24000.0,18000.0,282.6332469,211.9749351,75.0,37.8705253,128.840415,67.5,60.0,52.5,45.0
강원특별자치도 강릉시 연곡면 영진리-380,영진부영3,2019-11-01,84.9157,20175.0,9401.0,237.5885731,110.7097981,46.59727385,37.8705253,128.840415,41.937546465000004,37.27781908,32.618091695,27.95836431
강원특별자치도 강릉시 연곡면 영진리-380,영진부영3,2021-06-01,84.9157,25085.71429,21000.0,295.4190366,247.304091,83.71298405,37.8705253,128.840415,75.341685645,66.97038724000001,58.599088834999996,50.22779043
강원특별자치도 강릉시 유천동-0793,강릉유천더테라스아리스타,2020-10-01,84.899,35092.0,33000.0,413.3382019,388.6971578,94.0385273,37.7590226,128.863206,84.63467457,75.23082184,65.82696911,56.423116379999996
강원특별자치도 강릉시 유천동-778,엘에이치선수촌8단지,2021-06-01,74.88,44600.0,31800.0,595.6196581,424.6794872,71.30044843,37.7617246,128.868543,64.17040358700001,57.040358744,49.910313901,42.780269058
강원특별자치도 강릉시 입암동-0049,입암2주공,2020-07-01,39.69,5500.0,4500.0,138.5739481,113.3786848,81.81818182,37.7639352,128.9153679,73.636363638,65.454545456,57.272727274,49.090909092000004
강원특별자치도 강릉시 입암동-0210,이안강릉타운,2020-09-01,84.7,20966.66667,19500.0,247.5403384,230.2243211,93.00476948,37.7557903,128.9204978,83.704292532,74.403815584,65.10333863599999,55.80286168799999
강원특별자치도 강릉시 입암동-0440,입암현대,2020-09-01,59.956,13400.0,11500.0,223.4972313,191.8073254,85.82089552,37.7529118,128.9117416,77.238805968,68.656716416,60.07462686399999,51.492537311999996
강원특별자치도 강릉시 입암동-0506,대인3,2020-10-01,59.685,8275.0,8500.0,138.6445506,142.414342,102.7190332,37.7569137,128.912165,92.44712988,82.17522656,71.90332323999999,61.63141992
